N回目,ε,α,γ,学習回数,最短経路
---------------------------0.9,0.9,0.9-------------------------------
99,0.30,0.90,0.90,95940,16
100,0.30,0.90,0.90,76817,16
77,0.30,0.90,0.90,297796,16
98,0.30,0.90,0.90,246974,16
97,0.30,0.90,0.90,315003,16
6,0.20,0.90,0.90,265821,16
8,0.20,0.90,0.90,313424,16
3,0.20,0.90,0.90,352244,16
11,0.20,0.90,0.90,477368,16
9,0.20,0.90,0.90,582616,16
2,0.20,0.90,0.90,792410,16
13,0.20,0.90,0.90,425833,16
1,0.20,0.90,0.90,284960,17
7,0.20,0.90,0.90,684119,17
4,0.20,0.90,0.90,437005,17
5,0.20,0.90,0.90,842276,17
16,0.20,0.90,0.90,25036,16
10,0.20,0.90,0.90,568878,17
12,0.20,0.90,0.90,181105,17
20,0.20,0.90,0.90,594761,16
14,0.20,0.90,0.90,67078,17
21,0.20,0.90,0.90,710358,16
15,0.20,0.90,0.90,390936,17
23,0.20,0.90,0.90,206949,16
24,0.20,0.90,0.90,389680,16
19,0.20,0.90,0.90,644827,17
17,0.20,0.90,0.90,165436,17
18,0.20,0.90,0.90,247064,17
22,0.20,0.90,0.90,244341,17
25,0.20,0.90,0.90,551490,17
26,0.20,0.90,0.90,33474,17
33,0.20,0.90,0.90,211484,16
27,0.20,0.90,0.90,106053,17
34,0.20,0.90,0.90,519898,16
31,0.20,0.90,0.90,694101,17
35,0.20,0.90,0.90,165836,17
29,0.20,0.90,0.90,211329,17
30,0.20,0.90,0.90,856423,17
32,0.20,0.90,0.90,772095,16
28,0.20,0.90,0.90,383673,17
36,0.20,0.90,0.90,964538,17
44,0.20,0.90,0.90,230927,16
43,0.20,0.90,0.90,967002,16
37,0.20,0.90,0.90,240203,17
45,0.20,0.90,0.90,193065,17
41,0.20,0.90,0.90,385446,17
38,0.20,0.90,0.90,380784,17
